state,period,average_deaths
AK,2020-07-01 to 2021-02-01,18.7
AK,2021-02-01 to 2021-09-01,15.222222222222221
AK,2021-09-01 to 2022-06-01,30.2
AK,2022-06-01 to 2023-03-01,0
AK,2023-03-01 to 2024-12-01,0
AK,Before 2020-07-01,0
AL,2020-07-01 to 2021-02-01,266.9032258064516
AL,2021-02-01 to 2021-09-01,128.8
AL,2021-09-01 to 2022-06-01,177.7948717948718
AL,2022-06-01 to 2023-03-01,43.15384615384615
AL,2023-03-01 to 2024-12-01,21.606060606060606
AL,Before 2020-07-01,52.17391304347826
AR,2020-07-01 to 2021-02-01,156.6451612903226
AR,2021-02-01 to 2021-09-01,76.93333333333334
AR,2021-09-01 to 2022-06-01,100.29729729729729
AR,2022-06-01 to 2023-03-01,29.025641025641026
AR,2023-03-01 to 2024-12-01,15.369565217391305
AR,Before 2020-07-01,12.541666666666666
AZ,2020-07-01 to 2021-02-01,363.1290322580645
AZ,2021-02-01 to 2021-09-01,129
AZ,2021-09-01 to 2022-06-01,258.87179487179486
AZ,2022-06-01 to 2023-03-01,54.92307692307692
AZ,2023-03-01 to 2024-12-01,22.819277108433734
AZ,Before 2020-07-01,72.375
CA,2020-07-01 to 2021-02-01,1512.1612903225807
CA,2021-02-01 to 2021-09-01,548.1333333333333
CA,2021-09-01 to 2022-06-01,684.7435897435897
CA,2022-06-01 to 2023-03-01,256.9230769230769
CA,2023-03-01 to 2024-12-01,96.06521739130434
CA,Before 2020-07-01,300.6666666666667
CO,2020-07-01 to 2021-02-01,131.7741935483871
CO,2021-02-01 to 2021-09-01,58.233333333333334
CO,2021-09-01 to 2022-06-01,145.28205128205127
CO,2022-06-01 to 2023-03-01,38.256410256410255
CO,2023-03-01 to 2024-12-01,19.793650793650794
CO,Before 2020-07-01,63.76
CT,2020-07-01 to 2021-02-01,118.04166666666667
CT,2021-02-01 to 2021-09-01,48.91304347826087
CT,2021-09-01 to 2022-06-01,66.52631578947368
CT,2022-06-01 to 2023-03-01,30.692307692307693
CT,2023-03-01 to 2024-12-01,17.148936170212767
CT,Before 2020-07-01,166.5
DE,2020-07-01 to 2021-02-01,39.142857142857146
DE,2021-02-01 to 2021-09-01,22.647058823529413
DE,2021-09-01 to 2022-06-01,34.666666666666664
DE,2022-06-01 to 2023-03-01,12.666666666666666
DE,2023-03-01 to 2024-12-01,8.727272727272727
DE,Before 2020-07-01,22.458333333333332
FL,2020-07-01 to 2021-02-01,734.2903225806451
FL,2021-02-01 to 2021-09-01,650.1
FL,2021-09-01 to 2022-06-01,603.9230769230769
FL,2022-06-01 to 2023-03-01,214
FL,2023-03-01 to 2024-12-01,81.62637362637362
FL,Before 2020-07-01,147.70833333333334
GA,2020-07-01 to 2021-02-01,376.64516129032256
GA,2021-02-01 to 2021-09-01,217
GA,2021-09-01 to 2022-06-01,304.02564102564105
GA,2022-06-01 to 2023-03-01,74.64102564102564
GA,2023-03-01 to 2024-12-01,30.819277108433734
GA,Before 2020-07-01,110.78260869565217
HI,2020-07-01 to 2021-02-01,19.764705882352942
HI,2021-02-01 to 2021-09-01,29.2
HI,2021-09-01 to 2022-06-01,29.916666666666668
HI,2022-06-01 to 2023-03-01,13.764705882352942
HI,2023-03-01 to 2024-12-01,7.153846153846154
HI,Before 2020-07-01,0
IA,2020-07-01 to 2021-02-01,154.3548387096774
IA,2021-02-01 to 2021-09-01,33.7037037037037
IA,2021-09-01 to 2022-06-01,89.67567567567568
IA,2022-06-01 to 2023-03-01,28.05128205128205
IA,2023-03-01 to 2024-12-01,19.11627906976744
IA,Before 2020-07-01,28.28
ID,2020-07-01 to 2021-02-01,56.06666666666667
ID,2021-02-01 to 2021-09-01,22.857142857142858
ID,2021-09-01 to 2022-06-01,82.1
ID,2022-06-01 to 2023-03-01,14.576923076923077
ID,2023-03-01 to 2024-12-01,7.9523809523809526
ID,Before 2020-07-01,2.6875
IL,2020-07-01 to 2021-02-01,420.9032258064516
IL,2021-02-01 to 2021-09-01,157.06666666666666
IL,2021-09-01 to 2022-06-01,301.9230769230769
IL,2022-06-01 to 2023-03-01,85.74358974358974
IL,2023-03-01 to 2024-12-01,36.666666666666664
IL,Before 2020-07-01,267.52
IN,2020-07-01 to 2021-02-01,284.258064516129
IN,2021-02-01 to 2021-09-01,87.1
IN,2021-09-01 to 2022-06-01,234.07692307692307
IN,2022-06-01 to 2023-03-01,58.02564102564103
IN,2023-03-01 to 2024-12-01,28.106666666666666
IN,Before 2020-07-01,100.11538461538461
KS,2020-07-01 to 2021-02-01,137.38709677419354
KS,2021-02-01 to 2021-09-01,41.172413793103445
KS,2021-09-01 to 2022-06-01,100.80555555555556
KS,2022-06-01 to 2023-03-01,23.974358974358974
KS,2023-03-01 to 2024-12-01,15.973684210526315
KS,Before 2020-07-01,14.35
KY,2020-07-01 to 2021-02-01,169.83870967741936
KY,2021-02-01 to 2021-09-01,90.83333333333333
KY,2021-09-01 to 2022-06-01,208.64102564102564
KY,2022-06-01 to 2023-03-01,66.92307692307692
KY,2023-03-01 to 2024-12-01,28.382716049382715
KY,Before 2020-07-01,25.875
LA,2020-07-01 to 2021-02-01,171.4516129032258
LA,2021-02-01 to 2021-09-01,113
LA,2021-09-01 to 2022-06-01,113.10526315789474
LA,2022-06-01 to 2023-03-01,32.794871794871796
LA,2023-03-01 to 2024-12-01,17.563636363636363
LA,Before 2020-07-01,134.04347826086956
MA,2020-07-01 to 2021-02-01,133.80645161290323
MA,2021-02-01 to 2021-09-01,70.67857142857143
MA,2021-09-01 to 2022-06-01,116.17948717948718
MA,2022-06-01 to 2023-03-01,55.8974358974359
MA,2023-03-01 to 2024-12-01,26.56338028169014
MA,Before 2020-07-01,332.2173913043478
MD,2020-07-01 to 2021-02-01,148.09677419354838
MD,2021-02-01 to 2021-09-01,87.66666666666667
MD,2021-09-01 to 2022-06-01,127.82051282051282
MD,2022-06-01 to 2023-03-01,50.51282051282051
MD,2023-03-01 to 2024-12-01,24.733333333333334
MD,Before 2020-07-01,140
ME,2020-07-01 to 2021-02-01,44.666666666666664
ME,2021-02-01 to 2021-09-01,15.833333333333334
ME,2021-09-01 to 2022-06-01,40.972972972972975
ME,2022-06-01 to 2023-03-01,15.133333333333333
ME,2023-03-01 to 2024-12-01,13.65
ME,Before 2020-07-01,4.388888888888889
MI,2020-07-01 to 2021-02-01,275.19354838709677
MI,2021-02-01 to 2021-09-01,178.46666666666667
MI,2021-09-01 to 2022-06-01,344.71794871794873
MI,2022-06-01 to 2023-03-01,95.17948717948718
MI,2023-03-01 to 2024-12-01,39.08536585365854
MI,Before 2020-07-01,250.2173913043478
MN,2020-07-01 to 2021-02-01,170.29032258064515
MN,2021-02-01 to 2021-09-01,46.766666666666666
MN,2021-09-01 to 2022-06-01,130.30769230769232
MN,2022-06-01 to 2023-03-01,45.8974358974359
MN,2023-03-01 to 2024-12-01,24.945205479452056
MN,Before 2020-07-01,58.64
MO,2020-07-01 to 2021-02-01,271.5483870967742
MO,2021-02-01 to 2021-09-01,119.83333333333333
MO,2021-09-01 to 2022-06-01,178.87179487179486
MO,2022-06-01 to 2023-03-01,51.43589743589744
MO,2023-03-01 to 2024-12-01,26.369230769230768
MO,Before 2020-07-01,41.12
MS,2020-07-01 to 2021-02-01,169.67741935483872
