state,period,average_mortality_rate
AK,2020-07-01 to 2021-02-01,3.36
AK,2021-02-01 to 2021-09-01,2.46
AK,2021-09-01 to 2022-06-01,5
AK,2022-06-01 to 2023-03-01,0
AK,2023-03-01 to 2024-12-01,0
AK,Before 2020-07-01,0
AL,2020-07-01 to 2021-02-01,5.287096774193548
AL,2021-02-01 to 2021-09-01,2.5633333333333335
AL,2021-09-01 to 2022-06-01,4.112121212121212
AL,2022-06-01 to 2023-03-01,0.8783783783783784
AL,2023-03-01 to 2024-12-01,0.5378378378378378
AL,Before 2020-07-01,1.0347826086956522
AR,2020-07-01 to 2021-02-01,5.17741935483871
AR,2021-02-01 to 2021-09-01,2.8576923076923078
AR,2021-09-01 to 2022-06-01,3.6636363636363636
AR,2022-06-01 to 2023-03-01,1.1
AR,2023-03-01 to 2024-12-01,0.8333333333333334
AR,Before 2020-07-01,0.41000000000000003
AZ,2020-07-01 to 2021-02-01,4.980645161290322
AZ,2021-02-01 to 2021-09-01,1.77
AZ,2021-09-01 to 2022-06-01,3.6421052631578945
AZ,2022-06-01 to 2023-03-01,0.7564102564102564
AZ,2023-03-01 to 2024-12-01,0.4219512195121951
AZ,Before 2020-07-01,1
CA,2020-07-01 to 2021-02-01,3.858064516129032
CA,2021-02-01 to 2021-09-01,1.3933333333333333
CA,2021-09-01 to 2022-06-01,1.741025641025641
CA,2022-06-01 to 2023-03-01,0.6564102564102564
CA,2023-03-01 to 2024-12-01,0.24945054945054945
CA,Before 2020-07-01,0.7714285714285715
CO,2020-07-01 to 2021-02-01,2.3333333333333335
CO,2021-02-01 to 2021-09-01,0.99
CO,2021-09-01 to 2022-06-01,2.6777777777777776
CO,2022-06-01 to 2023-03-01,0.6763157894736842
CO,2023-03-01 to 2024-12-01,0.48846153846153845
CO,Before 2020-07-01,1.1333333333333333
CT,2020-07-01 to 2021-02-01,4.227777777777778
CT,2021-02-01 to 2021-09-01,1.6222222222222222
CT,2021-09-01 to 2022-06-01,2.109375
CT,2022-06-01 to 2023-03-01,0.9
CT,2023-03-01 to 2024-12-01,0.6857142857142857
CT,Before 2020-07-01,4.788
DE,2020-07-01 to 2021-02-01,5.492307692307692
DE,2021-02-01 to 2021-09-01,3.0444444444444443
DE,2021-09-01 to 2022-06-01,3.896
DE,2022-06-01 to 2023-03-01,NA
DE,2023-03-01 to 2024-12-01,0
DE,Before 2020-07-01,2.340909090909091
FL,2020-07-01 to 2021-02-01,3.367741935483871
FL,2021-02-01 to 2021-09-01,2.9833333333333334
FL,2021-09-01 to 2022-06-01,2.764102564102564
FL,2022-06-01 to 2023-03-01,0.982051282051282
FL,2023-03-01 to 2024-12-01,0.37333333333333335
FL,Before 2020-07-01,0.7086956521739131
GA,2020-07-01 to 2021-02-01,3.4870967741935486
GA,2021-02-01 to 2021-09-01,2.006666666666667
GA,2021-09-01 to 2022-06-01,2.815384615384615
GA,2022-06-01 to 2023-03-01,0.6897435897435897
GA,2023-03-01 to 2024-12-01,0.3433333333333333
GA,Before 2020-07-01,1.0260869565217392
HI,2020-07-01 to 2021-02-01,1.9857142857142858
HI,2021-02-01 to 2021-09-01,2.7333333333333334
HI,2021-09-01 to 2022-06-01,3.046153846153846
HI,2022-06-01 to 2023-03-01,1.4
HI,2023-03-01 to 2024-12-01,0
HI,Before 2020-07-01,0
IA,2020-07-01 to 2021-02-01,4.838709677419355
IA,2021-02-01 to 2021-09-01,1.28
IA,2021-09-01 to 2022-06-01,3.3566666666666665
IA,2022-06-01 to 2023-03-01,0.9363636363636364
IA,2023-03-01 to 2024-12-01,0.8352941176470589
IA,Before 2020-07-01,0.8958333333333334
ID,2020-07-01 to 2021-02-01,3.1142857142857143
ID,2021-02-01 to 2021-09-01,1.7230769230769232
ID,2021-09-01 to 2022-06-01,4.714814814814814
ID,2022-06-01 to 2023-03-01,1.125
ID,2023-03-01 to 2024-12-01,0
ID,Before 2020-07-01,0.07857142857142858
IL,2020-07-01 to 2021-02-01,3.325806451612903
IL,2021-02-01 to 2021-09-01,1.2366666666666666
IL,2021-09-01 to 2022-06-01,2.376923076923077
IL,2022-06-01 to 2023-03-01,0.6641025641025641
IL,2023-03-01 to 2024-12-01,0.3557377049180328
IL,Before 2020-07-01,2.191666666666667
IN,2020-07-01 to 2021-02-01,4.17741935483871
IN,2021-02-01 to 2021-09-01,1.2733333333333332
IN,2021-09-01 to 2022-06-01,3.4410256410256412
IN,2022-06-01 to 2023-03-01,0.8512820512820513
IN,2023-03-01 to 2024-12-01,0.5416666666666666
IN,Before 2020-07-01,1.52
KS,2020-07-01 to 2021-02-01,4.972413793103448
KS,2021-02-01 to 2021-09-01,1.8
KS,2021-09-01 to 2022-06-01,4.026666666666666
KS,2022-06-01 to 2023-03-01,0.9708333333333333
KS,2023-03-01 to 2024-12-01,0.75
KS,Before 2020-07-01,0.46875
KY,2020-07-01 to 2021-02-01,3.770967741935484
KY,2021-02-01 to 2021-09-01,2.0166666666666666
KY,2021-09-01 to 2022-06-01,4.628205128205129
KY,2022-06-01 to 2023-03-01,1.4871794871794872
KY,2023-03-01 to 2024-12-01,0.801923076923077
KY,Before 2020-07-01,0.5750000000000001
LA,2020-07-01 to 2021-02-01,3.703225806451613
LA,2021-02-01 to 2021-09-01,2.45
LA,2021-09-01 to 2022-06-01,2.7636363636363637
LA,2022-06-01 to 2023-03-01,0.8266666666666667
LA,2023-03-01 to 2024-12-01,0.5105263157894737
LA,Before 2020-07-01,2.9
MA,2020-07-01 to 2021-02-01,1.9733333333333334
MA,2021-02-01 to 2021-09-01,1.1695652173913043
MA,2021-09-01 to 2022-06-01,1.6666666666666667
MA,2022-06-01 to 2023-03-01,0.8
MA,2023-03-01 to 2024-12-01,0.4826086956521739
MA,Before 2020-07-01,4.756521739130434
MD,2020-07-01 to 2021-02-01,2.393548387096774
MD,2021-02-01 to 2021-09-01,1.5592592592592593
MD,2021-09-01 to 2022-06-01,2.076923076923077
MD,2022-06-01 to 2023-03-01,0.8153846153846154
MD,2023-03-01 to 2024-12-01,0.5177777777777778
MD,Before 2020-07-01,2.3583333333333334
ME,2020-07-01 to 2021-02-01,3.4272727272727272
ME,2021-02-01 to 2021-09-01,2.1333333333333333
ME,2021-09-01 to 2022-06-01,3.696296296296296
ME,2022-06-01 to 2023-03-01,1.575
ME,2023-03-01 to 2024-12-01,1.0333333333333334
ME,Before 2020-07-01,0
MI,2020-07-01 to 2021-02-01,2.735483870967742
MI,2021-02-01 to 2021-09-01,1.7733333333333334
MI,2021-09-01 to 2022-06-01,3.4256410256410255
MI,2022-06-01 to 2023-03-01,0.9487179487179487
MI,2023-03-01 to 2024-12-01,0.4639344262295082
MI,Before 2020-07-01,2.482608695652174
MN,2020-07-01 to 2021-02-01,2.9838709677419355
MN,2021-02-01 to 2021-09-01,0.9359999999999999
MN,2021-09-01 to 2022-06-01,2.3421052631578947
MN,2022-06-01 to 2023-03-01,0.8153846153846154
MN,2023-03-01 to 2024-12-01,0.5857142857142857
MN,Before 2020-07-01,1.0666666666666667
MO,2020-07-01 to 2021-02-01,4.4
MO,2021-02-01 to 2021-09-01,1.95
MO,2021-09-01 to 2022-06-01,3.0432432432432432
MO,2022-06-01 to 2023-03-01,0.8307692307692308
MO,2023-03-01 to 2024-12-01,0.5155555555555555
MO,Before 2020-07-01,0.6833333333333333
MS,2020-07-01 to 2021-02-01,5.751612903225807
MS,2021-02-01 to 2021-09-01,3.089655172413793
MS,2021-09-01 to 2022-06-01,4.209090909090909
MS,2022-06-01 to 2023-03-01,1.2205882352941178
MS,2023-03-01 to 2024-12-01,0.8909090909090909
MS,Before 2020-07-01,1.6409090909090909
MT,2020-07-01 to 2021-02-01,5.835
MT,2021-02-01 to 2021-09-01,2.76
MT,2021-09-01 to 2022-06-01,5.376923076923077
MT,2022-06-01 to 2023-03-01,NA
MT,2023-03-01 to 2024-12-01,0
MT,Before 2020-07-01,0
NC,2020-07-01 to 2021-02-01,3.3193548387096774
NC,2021-02-01 to 2021-09-01,1.6966666666666668
NC,2021-09-01 to 2022-06-01,2.8282051282051284
NC,2022-06-01 to 2023-03-01,0.9153846153846154
NC,2023-03-01 to 2024-12-01,0.44285714285714284
NC,Before 2020-07-01,0.638095238095238
ND,2020-07-01 to 2021-02-01,9.217647058823529
ND,2021-02-01 to 2021-09-01,0
ND,2021-09-01 to 2022-06-01,4.055
ND,2022-06-01 to 2023-03-01,NA
ND,2023-03-01 to 2024-12-01,0
ND,Before 2020-07-01,0
NE,2020-07-01 to 2021-02-01,4.524
NE,2021-02-01 to 2021-09-01,1.509090909090909
NE,2021-09-01 to 2022-06-01,3.1678571428571427
NE,2022-06-01 to 2023-03-01,1.1777777777777778
NE,2023-03-01 to 2024-12-01,0.8500000000000001
NE,Before 2020-07-01,0.6545454545454545
NH,2020-07-01 to 2021-02-01,4.54
NH,2021-02-01 to 2021-09-01,1.6
NH,2021-09-01 to 2022-06-01,3.226086956521739
NH,2022-06-01 to 2023-03-01,1.5666666666666667
NH,2023-03-01 to 2024-12-01,0
NH,Before 2020-07-01,1.2260869565217392
NJ,2020-07-01 to 2021-02-01,2.3225806451612905
NJ,2021-02-01 to 2021-09-01,1.69
NJ,2021-09-01 to 2022-06-01,1.9333333333333333
