week_ending_date,state,data_as_of,COVID_deaths_weekly,COVID_deaths_total,crude_COVID_rate_weekly,aa_COVID_rate_weekly,crude_COVID_rate_total,aa_COVID_rate_total,COVID_pct_of_total_weekly
2020/1/4,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/11,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/18,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/25,AL ,2024/12/5,,,,,,,
2020/2/1,AL ,2024/12/5,0,,0,0,,,0
2020/2/8,AL ,2024/12/5,0,,0,0,,,0
2020/2/15,AL ,2024/12/5,0,,0,0,,,0
2020/2/22,AL ,2024/12/5,0,,0,0,,,0
2020/2/29,AL ,2024/12/5,,,,,,,
2020/3/7,AL ,2024/12/5,0,,0,0,,,0
2020/3/14,AL ,2024/12/5,0,,0,0,,,0
2020/3/21,AL ,2024/12/5,,,,,,,
2020/3/28,AL ,2024/12/5,24,29,0.5,0.4,0.6,0.5,2.2
2020/4/4,AL ,2024/12/5,45,74,0.9,0.7,1.5,1.2,3.8
2020/4/11,AL ,2024/12/5,74,148,1.5,1.2,2.9,2.3,6.4
2020/4/18,AL ,2024/12/5,91,239,1.8,1.5,4.7,3.8,7.8
2020/4/25,AL ,2024/12/5,86,325,1.7,1.4,6.4,5.2,7.4
2020/5/2,AL ,2024/12/5,82,407,1.6,1.3,8.1,6.5,7.1
2020/5/9,AL ,2024/12/5,117,524,2.3,1.9,10.4,8.4,9.8
2020/5/16,AL ,2024/12/5,101,625,2,1.6,12.4,10,8.6
2020/5/23,AL ,2024/12/5,87,712,1.7,1.4,14.1,11.4,7.5
2020/5/30,AL ,2024/12/5,111,823,2.2,1.8,16.3,13.3,9.8
2020/6/6,AL ,2024/12/5,91,914,1.8,1.4,18.1,14.7,7.6
2020/6/13,AL ,2024/12/5,85,999,1.7,1.4,19.8,16.1,7.4
2020/6/20,AL ,2024/12/5,96,1095,1.9,1.6,21.7,17.7,8.7
2020/6/27,AL ,2024/12/5,110,1205,2.2,1.7,23.9,19.5,9.3
2020/7/4,AL ,2024/12/5,135,1340,2.7,2.1,26.6,21.6,10.9
2020/7/11,AL ,2024/12/5,148,1488,2.9,2.4,29.5,24,11.4
2020/7/18,AL ,2024/12/5,199,1687,3.9,3.2,33.5,27.2,15.2
2020/7/25,AL ,2024/12/5,263,1950,5.2,4.2,38.7,31.4,19.1
2020/8/1,AL ,2024/12/5,282,2232,5.6,4.6,44.3,36,20
